0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:10:16 -0300] "GET /Restful-API-TAG/ HTTP/1.1" 200 820
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:10:16 -0300] "GET /Restful-API-TAG/css/styles.css HTTP/1.1" 200 354
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:10:16 -0300] "GET /Restful-API-TAG/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:10:28 -0300] "GET /Restful-API-TAG/ HTTP/1.1" 200 820
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:10:28 -0300] "GET /Restful-API-TAG/css/styles.css HTTP/1.1" 200 356
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:10:28 -0300] "GET /Restful-API-TAG/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:10:39 -0300] "GET /Restful-API-TAG/ HTTP/1.1" 200 820
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:10:39 -0300] "GET /Restful-API-TAG/css/styles.css HTTP/1.1" 200 356
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:10:39 -0300] "GET /Restful-API-TAG/css/bootstrap.min.css HTTP/1.1" 200 121260
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:10:39 -0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:10:56 -0300] "GET /Restful-API-TAG/ HTTP/1.1" 200 820
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:10:56 -0300] "GET /Restful-API-TAG/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:10:56 -0300] "GET /Restful-API-TAG/css/styles.css HTTP/1.1" 200 357
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:11:21 -0300] "GET /Restful-API-TAG/ HTTP/1.1" 200 820
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:11:21 -0300] "GET /Restful-API-TAG/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:11:21 -0300] "GET /Restful-API-TAG/css/styles.css HTTP/1.1" 200 363
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:11:57 -0300] "GET /Restful-API-TAG/ HTTP/1.1" 200 833
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:11:57 -0300] "GET /Restful-API-TAG/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:11:57 -0300] "GET /Restful-API-TAG/css/styles.css HTTP/1.1" 304 -
